"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Smoke test: Verify main navigation menu is visible.

Critical test to ensure the navigation header renders correctly
after login.
","383","test_smoke_main_menu_visible[chromium]","tests","Wed Oct 29 00:19:55 UTC 2025","passed","Wed Oct 29 00:19:55 UTC 2025","TestNavigationHeaderSmoke","test_navigation_header","",""
"
Smoke test: Verify basic navigation works.

Critical test to ensure users can navigate between modules.
","2997","test_smoke_navigation_works[chromium]","tests","Wed Oct 29 00:19:59 UTC 2025","passed","Wed Oct 29 00:20:02 UTC 2025","TestNavigationHeaderSmoke","test_navigation_header","",""
"
Configure leave period to start on April 1st (fiscal year).

Scenario:
    Given I am on the Leave Period configuration page
    When I select ""April"" as start month
    And I select ""01"" as start date
    Then the end date should be ""March 31""
    When I save the configuration
    Then I should see a success message

This tests a common fiscal year leave period configuration.
","1218","test_configure_leave_period_april_first[chromium]","tests","Wed Oct 29 00:19:36 UTC 2025","passed","Wed Oct 29 00:19:37 UTC 2025","TestLeavePeriodHappyPath","test_leave_period","",""
"
Smoke test: Verify Leave Period page loads successfully.

Critical test to ensure the page is accessible and displays
all essential elements.
","42","test_smoke_leave_period_page_loads[chromium]","tests","Wed Oct 29 00:19:44 UTC 2025","passed","Wed Oct 29 00:19:44 UTC 2025","TestLeavePeriodSmoke","test_leave_period","",""
"
Smoke test: Verify current leave period is always displayed.

Critical test to ensure users can see the current configuration.
","13","test_smoke_current_period_displayed[chromium]","tests","Wed Oct 29 00:19:53 UTC 2025","passed","Wed Oct 29 00:19:53 UTC 2025","TestLeavePeriodSmoke","test_leave_period","",""
"
Verify current leave period is displayed on the page.

Scenario:
    Given I am on the Leave Period configuration page
    Then I should see the current leave period displayed
    And it should be in the format ""YYYY-MM-DD to YYYY-MM-DD""

This verifies that users can see the currently configured leave period.
","7","test_view_current_leave_period[chromium]","tests","Wed Oct 29 00:19:45 UTC 2025","passed","Wed Oct 29 00:19:45 UTC 2025","TestLeavePeriodHappyPath","test_leave_period","",""
"
Smoke test: Navigation header persists across modules.

Critical test to ensure navigation header doesn't disappear.
","6533","test_smoke_navigation_header_persistent[chromium]","tests","Wed Oct 29 00:19:41 UTC 2025","passed","Wed Oct 29 00:19:47 UTC 2025","TestCrossModuleNavigationSmoke","test_cross_module_navigation","",""
"
Demo: Login test with visual highlighting for debugging.

This test shows how to use Playwright's native highlight() during development
to visually identify which elements are being interacted with.

Scenario:
    Given: User is on the login page
    When: User enters valid credentials with visual highlights
    Then: User should be redirected to dashboard

Args:
    login_page: LoginPage instance
    config_service: Configuration service with credentials
","4024","test_login_with_highlight_demo[chromium]","tests","Wed Oct 29 00:19:55 UTC 2025","passed","Wed Oct 29 00:19:59 UTC 2025","","test_login_demo","",""
"
Test method chaining for fluent API.

Scenario:
    Given I am on the Leave Period configuration page
    When I use method chaining to configure leave period
    Then all methods should execute successfully
    And the configuration should be saved

This verifies that the fluent interface pattern works correctly.
","195","test_method_chaining[chromium]","tests","Wed Oct 29 00:19:36 UTC 2025","passed","Wed Oct 29 00:19:36 UTC 2025","TestLeavePeriodHappyPath","test_leave_period","",""
"
Smoke test: Verify basic configure and save workflow.

Critical end-to-end test for the primary use case.
","1224","test_smoke_configure_and_save[chromium]","tests","Wed Oct 29 00:19:53 UTC 2025","passed","Wed Oct 29 00:19:54 UTC 2025","TestLeavePeriodSmoke","test_leave_period","",""
