"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test navigation to Directory module.

Verifies that clicking Directory menu navigates to the Directory
module and the URL changes accordingly.
","1587","test_navigate_to_directory[webkit]","tests","Wed Oct 29 00:45:07 UTC 2025","passed","Wed Oct 29 00:45:09 UTC 2025","TestNavigationHeaderMainMenu","test_navigation_header","",""
"
Test opening the user dropdown.

Verifies that the user dropdown can be opened and menu items
become visible.
","0","test_open_user_dropdown[firefox]","tests","Wed Oct 29 00:42:25 UTC 2025","broken","Wed Oct 29 00:42:25 UTC 2025","TestNavigationHeaderUserDropdown","test_navigation_header","",""
"
Verify all main menu items are visible after login.

Tests that the navigation header displays all expected menu items
for a logged-in user with standard permissions.
","500","test_main_menu_items_visible[chromium]","tests","Wed Oct 29 00:43:56 UTC 2025","passed","Wed Oct 29 00:43:57 UTC 2025","TestNavigationHeaderVisibility","test_navigation_header","",""
"
Smoke test: Round-trip navigation works.

Critical test to ensure users can navigate away and return.
","0","test_smoke_round_trip_navigation[firefox]","tests","Wed Oct 29 00:42:24 UTC 2025","broken","Wed Oct 29 00:42:24 UTC 2025","TestCrossModuleNavigationSmoke","test_cross_module_navigation","",""
"
Test typical HR Manager workflow.

Workflow:
1. Check dashboard for quick stats
2. View employees in PIM
3. Check leave requests
4. Review recruitment pipeline
","8323","test_hr_manager_workflow[webkit]","tests","Wed Oct 29 00:43:20 UTC 2025","passed","Wed Oct 29 00:43:28 UTC 2025","TestCommonUserWorkflows","test_cross_module_navigation","",""
"
Demo: Login test with visual highlighting for debugging.

This test shows how to use Playwright's native highlight() during development
to visually identify which elements are being interacted with.

Scenario:
    Given: User is on the login page
    When: User enters valid credentials with visual highlights
    Then: User should be redirected to dashboard

Args:
    login_page: LoginPage instance
    config_service: Configuration service with credentials
","0","test_login_with_highlight_demo[firefox]","tests","Wed Oct 29 00:42:24 UTC 2025","broken","Wed Oct 29 00:42:24 UTC 2025","","test_login_demo","",""
"
Test end date calculation for all possible start months.

This parametrized test verifies that the end date calculation
works correctly for every month of the year.

Args:
    month: Start month to test
    expected_end_month: Expected month in the end date
","162","test_all_months_end_date_calculation[chromium-December-November]","tests","Wed Oct 29 00:45:18 UTC 2025","passed","Wed Oct 29 00:45:18 UTC 2025","TestLeavePeriodMonthConfiguration","test_leave_period","",""
"
Test leave period starting on last day of February.

Scenario:
    Given I am on the Leave Period configuration page
    When I select ""February"" as start month
    And I select ""28"" as start date
    Then the end date should be ""February 27""
    And the configuration should save successfully

This tests handling of shorter months.
","1236","test_february_last_day[chromium]","tests","Wed Oct 29 00:44:04 UTC 2025","passed","Wed Oct 29 00:44:06 UTC 2025","TestLeavePeriodEdgeCases","test_leave_period","",""
"
Test end date calculation for all possible start months.

This parametrized test verifies that the end date calculation
works correctly for every month of the year.

Args:
    month: Start month to test
    expected_end_month: Expected month in the end date
","267","test_all_months_end_date_calculation[webkit-March-February]","tests","Wed Oct 29 00:45:58 UTC 2025","passed","Wed Oct 29 00:45:58 UTC 2025","TestLeavePeriodMonthConfiguration","test_leave_period","",""
"
Smoke test: Round-trip navigation works.

Critical test to ensure users can navigate away and return.
","5283","test_smoke_round_trip_navigation[webkit]","tests","Wed Oct 29 00:43:04 UTC 2025","passed","Wed Oct 29 00:43:09 UTC 2025","TestCrossModuleNavigationSmoke","test_cross_module_navigation","",""
"
Test reset button restores previous values.

Scenario:
    Given I am on the Leave Period configuration page
    And I have configured a leave period
    When I change the start month and date
    And I click the Reset button
    Then the values should return to the previous state

This verifies that users can discard changes before saving.
","722","test_reset_functionality[chromium]","tests","Wed Oct 29 00:44:13 UTC 2025","passed","Wed Oct 29 00:44:14 UTC 2025","TestLeavePeriodEdgeCases","test_leave_period","",""
"
Demo: Method chaining with selective highlighting.

Shows how to combine fluent API with strategic highlights for debugging.

Scenario:
    Given: User is on the login page
    When: User previews elements with highlights
    And: User executes login with method chaining
    Then: Login should succeed

Args:
    login_page: LoginPage instance
    config_service: Configuration service
","2945","test_method_chaining_with_highlight[webkit]","tests","Wed Oct 29 00:44:33 UTC 2025","passed","Wed Oct 29 00:44:36 UTC 2025","","test_login_demo","",""
