"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test navigation to Time module.

Verifies that clicking Time menu navigates to the Time module
and the URL changes accordingly.
","2542","test_navigate_to_time[webkit]","tests","Wed Oct 29 00:32:10 UTC 2025","passed","Wed Oct 29 00:32:13 UTC 2025","TestNavigationHeaderMainMenu","test_navigation_header","",""
"
Test admin configuration workflow.

Workflow:
1. Access admin panel
2. Configure system settings
3. Return to dashboard
4. Verify changes (navigate to relevant module)
","10420","test_admin_configuration_workflow[webkit]","tests","Wed Oct 29 00:29:57 UTC 2025","passed","Wed Oct 29 00:30:07 UTC 2025","TestCommonUserWorkflows","test_cross_module_navigation","",""
"
Test round trip navigation with user dropdown interaction.

Verifies that user dropdown works correctly after navigating
between modules.
","0","test_round_trip_with_user_dropdown[webkit]","tests","Wed Oct 29 00:30:34 UTC 2025","broken","Wed Oct 29 00:30:34 UTC 2025","TestRoundTripNavigation","test_cross_module_navigation","",""
"
Demo: Invalid login attempt with visual highlighting.

Shows how to use highlight() when debugging error scenarios.

Scenario:
    Given: User is on the login page
    When: User enters invalid credentials with highlights
    Then: Error message should be visible and highlighted

Args:
    login_page: LoginPage instance
","4628","test_invalid_login_with_highlight[webkit]","tests","Wed Oct 29 00:31:49 UTC 2025","passed","Wed Oct 29 00:31:54 UTC 2025","","test_login_demo","",""
"
Test Recruitment to Performance navigation workflow.

Common workflow: Recruit employee, then manage performance.
","4332","test_navigate_recruitment_to_performance_workflow[chromium]","tests","Wed Oct 29 00:31:19 UTC 2025","passed","Wed Oct 29 00:31:23 UTC 2025","TestSequentialNavigation","test_cross_module_navigation","",""
"
Test opening the user dropdown.

Verifies that the user dropdown can be opened and menu items
become visible.
","265","test_open_user_dropdown[chromium]","tests","Wed Oct 29 00:32:18 UTC 2025","passed","Wed Oct 29 00:32:18 UTC 2025","TestNavigationHeaderUserDropdown","test_navigation_header","",""
"
Test navigation to Leave module.

Verifies that clicking Leave menu navigates to the Leave module from Dashboard.
","2204","test_navigate_to_leave[chromium]","tests","Wed Oct 29 00:32:06 UTC 2025","passed","Wed Oct 29 00:32:08 UTC 2025","TestNavigationHeaderMainMenu","test_navigation_header","",""
"
Test navigation to Performance module.

Verifies that clicking Performance menu navigates to the Performance
module and the URL changes accordingly.
","1294","test_navigate_to_performance[webkit]","tests","Wed Oct 29 00:32:23 UTC 2025","passed","Wed Oct 29 00:32:24 UTC 2025","TestNavigationHeaderMainMenu","test_navigation_header","",""
"
Test that end date updates when start date changes.

Scenario:
    Given I am on the Leave Period configuration page
    When I select different start months
    Then the end date should update dynamically for each selection

This verifies real-time calculation of end dates.
","0","test_end_date_updates_dynamically[firefox]","tests","Wed Oct 29 00:29:45 UTC 2025","broken","Wed Oct 29 00:29:45 UTC 2025","TestLeavePeriodValidation","test_leave_period","",""
"
Test leave period starting on last day of February.

Scenario:
    Given I am on the Leave Period configuration page
    When I select ""February"" as start month
    And I select ""28"" as start date
    Then the end date should be ""February 27""
    And the configuration should save successfully

This tests handling of shorter months.
","1377","test_february_last_day[webkit]","tests","Wed Oct 29 00:32:20 UTC 2025","passed","Wed Oct 29 00:32:21 UTC 2025","TestLeavePeriodEdgeCases","test_leave_period","",""
