"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Verify user can login successfully with valid credentials.

Scenario:
    Given: User is on the login page
    When: User enters valid username and password
    And: User clicks the login button
    Then: User should be redirected to the dashboard page

Args:
    login_page: LoginPage instance (already navigated to login page)
    config_service: Configuration service with valid test credentials
","0","test_valid_login[webkit]","tests","Wed May 06 15:43:56 UTC 2026","broken","Wed May 06 15:43:56 UTC 2026","","test_login","",""
"
Test reset button restores previous values.

Scenario:
    Given I am on the Leave Period configuration page
    And I have configured a leave period
    When I change the start month and date
    And I click the Reset button
    Then the values should return to the previous state

This verifies that users can discard changes before saving.
","0","test_reset_functionality[firefox]","tests","Wed May 06 15:44:04 UTC 2026","broken","Wed May 06 15:44:04 UTC 2026","TestLeavePeriodEdgeCases","test_leave_period","",""
"
Verify all critical login page elements are visible on page load.

Scenario:
    Given: User is on the login page
    When: Page finishes loading
    Then: Username field should be visible
    And: Password field should be visible
    And: Login button should be visible
    And: Login logo should be visible

Args:
    login_page: LoginPage instance
","0","test_login_page_elements_visible[chromium]","tests","Wed May 06 15:43:51 UTC 2026","broken","Wed May 06 15:43:51 UTC 2026","","test_login","",""
"
Smoke test: Basic cross-module navigation works.

Critical test to ensure users can navigate between modules.
","0","test_smoke_basic_cross_module_navigation[chromium]","tests","Wed May 06 15:43:50 UTC 2026","broken","Wed May 06 15:43:50 UTC 2026","TestCrossModuleNavigationSmoke","test_cross_module_navigation","",""
"
Test typical HR Manager workflow.

Workflow:
1. Check dashboard for quick stats
2. View employees in PIM
3. Check leave requests
4. Review recruitment pipeline
","0","test_hr_manager_workflow[firefox]","tests","Wed May 06 15:44:04 UTC 2026","broken","Wed May 06 15:44:04 UTC 2026","TestCommonUserWorkflows","test_cross_module_navigation","",""
"
Test navigation to Recruitment module.

Verifies that clicking Recruitment menu navigates to the Recruitment
module and the URL changes accordingly.
","0","test_navigate_to_recruitment[firefox]","tests","Wed May 06 15:44:05 UTC 2026","broken","Wed May 06 15:44:05 UTC 2026","TestNavigationHeaderMainMenu","test_navigation_header","",""
"
Test that different page objects can use the same NavigationHeader.

Verifies that NavigationHeader is composable and can be used
across different page object instances.
","0","test_multiple_page_objects_share_navigation[webkit]","tests","Wed May 06 15:43:56 UTC 2026","broken","Wed May 06 15:43:56 UTC 2026","TestNavigationHeaderIntegration","test_navigation_header","",""
"
Data-driven test for end date calculation across all 12 months.

This parametrized test verifies that the end date calculation
works correctly for every month of the year, using JSON test data.

Scenario:
    Given I am on the Leave Period configuration page
    When I select a start month and date
    Then the end date should contain the expected month

Test data covers all 12 months with expected end date calculations.

Args:
    start_month: Start month for leave period
    start_date: Start date for leave period
    expected_end_month: Expected month in end date
","0","test_all_months_end_date_calculation[chromium-month_july]","tests","Wed May 06 15:43:51 UTC 2026","broken","Wed May 06 15:43:51 UTC 2026","TestLeavePeriodMonthConfiguration","test_leave_period","",""
"
Test navigation to My Info module.

Verifies that clicking My Info menu navigates to the My Info module
and the URL changes accordingly.
","0","test_navigate_to_my_info[firefox]","tests","Wed May 06 15:44:05 UTC 2026","broken","Wed May 06 15:44:05 UTC 2026","TestNavigationHeaderMainMenu","test_navigation_header","",""
"
Verify error message is displayed when login fails with invalid credentials.

Scenario:
    Given: User is on the login page
    When: User enters invalid username and password
    And: User clicks the login button
    Then: Error message should be visible
    And: Error message should contain ""Invalid credentials""

Args:
    login_page: LoginPage instance
","0","test_invalid_login[firefox]","tests","Wed May 06 15:44:04 UTC 2026","broken","Wed May 06 15:44:04 UTC 2026","","test_login","",""
