"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Smoke test: Verify user dropdown is accessible.

Critical test to ensure users can access account options.
","240","test_smoke_user_dropdown_accessible[chromium]","tests","Wed Oct 29 00:04:19 UTC 2025","passed","Wed Oct 29 00:04:20 UTC 2025","TestNavigationHeaderSmoke","test_navigation_header","",""
"
Smoke test: Verify basic configure and save workflow.

Critical end-to-end test for the primary use case.
","1223","test_smoke_configure_and_save[chromium]","tests","Wed Oct 29 00:04:06 UTC 2025","passed","Wed Oct 29 00:04:07 UTC 2025","TestLeavePeriodSmoke","test_leave_period","",""
"
Smoke test: Verify logout works.

Critical test to ensure users can log out of the application.
","1057","test_smoke_logout_works[chromium]","tests","Wed Oct 29 00:04:23 UTC 2025","passed","Wed Oct 29 00:04:24 UTC 2025","TestNavigationHeaderSmoke","test_navigation_header","",""
"
Smoke test: Verify current leave period is always displayed.

Critical test to ensure users can see the current configuration.
","8","test_smoke_current_period_displayed[chromium]","tests","Wed Oct 29 00:04:07 UTC 2025","passed","Wed Oct 29 00:04:07 UTC 2025","TestLeavePeriodSmoke","test_leave_period","",""
"
Verify user can login successfully with valid credentials.

Scenario:
    Given: User is on the login page
    When: User enters valid username and password
    And: User clicks the login button
    Then: User should be redirected to the dashboard page

Args:
    login_page: LoginPage instance (already navigated to login page)
    config_service: Configuration service with valid test credentials
","1128","test_valid_login[chromium]","tests","Wed Oct 29 00:04:09 UTC 2025","passed","Wed Oct 29 00:04:10 UTC 2025","","test_login","",""
"
Demo: Invalid login attempt with visual highlighting.

Shows how to use highlight() when debugging error scenarios.

Scenario:
    Given: User is on the login page
    When: User enters invalid credentials with highlights
    Then: Error message should be visible and highlighted

Args:
    login_page: LoginPage instance
","3647","test_invalid_login_with_highlight[chromium]","tests","Wed Oct 29 00:04:13 UTC 2025","passed","Wed Oct 29 00:04:17 UTC 2025","","test_login_demo","",""
"
Demo: Login test with visual highlighting for debugging.

This test shows how to use Playwright's native highlight() during development
to visually identify which elements are being interacted with.

Scenario:
    Given: User is on the login page
    When: User enters valid credentials with visual highlights
    Then: User should be redirected to dashboard

Args:
    login_page: LoginPage instance
    config_service: Configuration service with credentials
","3915","test_login_with_highlight_demo[chromium]","tests","Wed Oct 29 00:04:12 UTC 2025","passed","Wed Oct 29 00:04:16 UTC 2025","","test_login_demo","",""
"
Smoke test: Verify main navigation menu is visible.

Critical test to ensure the navigation header renders correctly
after login.
","242","test_smoke_main_menu_visible[chromium]","tests","Wed Oct 29 00:04:18 UTC 2025","passed","Wed Oct 29 00:04:19 UTC 2025","TestNavigationHeaderSmoke","test_navigation_header","",""
"
Smoke test: Verify basic navigation works.

Critical test to ensure users can navigate between modules.
","2645","test_smoke_navigation_works[chromium]","tests","Wed Oct 29 00:04:22 UTC 2025","passed","Wed Oct 29 00:04:25 UTC 2025","TestNavigationHeaderSmoke","test_navigation_header","",""
"
Smoke test: Navigation header persists across modules.

Critical test to ensure navigation header doesn't disappear.
","3776","test_smoke_navigation_header_persistent[chromium]","tests","Wed Oct 29 00:03:45 UTC 2025","passed","Wed Oct 29 00:03:49 UTC 2025","TestCrossModuleNavigationSmoke","test_cross_module_navigation","",""
